time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-28T16:53:51.940Z,19.3283333333333,-155.190666666667,2.94,2.56,ml,49,89,,0.1,hv,hv72492472,2021-05-28T20:12:52.470Z,"13 km SSE of Volcano, Hawaii",earthquake,0.26,0.7,0.146215633689293,34,reviewed,hv,hv
2021-05-28T16:22:58.320Z,39.1255,-120.0296667,6.29,2.74,md,28,66,0.1111,0.08,nc,nc73566756,2021-05-29T00:32:12.901Z,"9km SE of Dollar Point, CA",earthquake,0.19,0.56,0.13,50,reviewed,nc,nc
2021-05-28T16:10:43.072Z,6.7999,-73.0355,149.99,4.9,mb,,45,0.902,1.78,us,us6000efla,2021-05-28T17:43:34.696Z,"8 km NW of Cepitá, Colombia",earthquake,7.5,8.3,0.051,120,reviewed,us,us
2021-05-28T16:04:54.470Z,39.1245,-120.0338333,5.41,3.11,ml,29,66,0.1097,0.09,nc,nc73566751,2021-05-29T04:42:21.973Z,"9km SE of Dollar Point, CA",earthquake,0.21,0.62,0.156,43,reviewed,nc,nc
2021-05-28T15:55:16.630Z,36.0828333,-119.6476667,15.1,2.45,md,33,100,0.3203,0.11,nc,nc73566746,2021-05-29T03:25:12.878Z,"8km WSW of Corcoran, CA",earthquake,0.35,0.56,0.177,64,reviewed,nc,nc
2021-05-28T15:46:36.720Z,39.1265,-120.0346667,6.91,2.61,md,17,65,0.1078,0.09,nc,nc73566741,2021-05-29T03:07:12.786Z,"9km SE of Dollar Point, CA",earthquake,0.29,0.72,0.156,48,reviewed,nc,nc
2021-05-28T15:25:21.840Z,39.1221667,-120.0286667,7.02,4.15,mw,37,67,0.1141,0.11,nc,nc73566711,2021-05-29T11:49:24.441Z,"10km SE of Dollar Point, CA",earthquake,0.18,0.59,,3,reviewed,nc,nc
2021-05-28T14:52:18.440Z,36.4718333,-117.5105,-1.25,2.8,ml,40,51,0.2105,0.17,ci,ci39908152,2021-05-28T23:23:32.201Z,"36km WSW of Stovepipe Wells, CA",earthquake,0.19,0.45,0.112,26,reviewed,ci,ci
2021-05-28T14:43:59.229Z,20.3233,120.5228,10,4.8,mb,,74,2.535,1.15,us,us6000efhg,2021-05-28T16:47:19.040Z,"151 km W of Basco, Philippines",earthquake,2.9,1.9,0.057,98,reviewed,us,us
2021-05-28T14:35:31.111Z,12.3094,-86.7828,129.55,4.4,mb,,148,0.301,0.57,us,us6000efj0,2021-05-28T16:55:55.040Z,"12 km WSW of La Paz Centro, Nicaragua",earthquake,6.7,5.8,0.095,32,reviewed,us,us
2021-05-28T14:08:18.663Z,44.4853,-115.2287,10,3.3,ml,,62,0.815,0.53,us,us6000efh7,2021-05-28T18:26:30.647Z,"37 km NW of Stanley, Idaho",earthquake,3,2,0.037,98,reviewed,us,us
2021-05-28T13:42:37.770Z,44.536,-115.2603333,16.67,2.52,ml,17,82,0.763,0.21,mb,mb80506729,2021-05-28T14:46:42.420Z,"43 km NW of Stanley, Idaho",earthquake,0.44,1.2,0.191,14,reviewed,mb,mb
2021-05-28T13:41:31.541Z,-18.3085,168.0425,10,5.1,mww,,45,4.188,1.24,us,us6000efh2,2021-05-29T01:59:18.995Z,"69 km SSW of Port-Vila, Vanuatu",earthquake,8.6,1.8,0.098,10,reviewed,us,us
2021-05-28T12:54:48.140Z,18.2293,-67.177,92,3.51,md,23,137,0.0344,0.18,pr,pr2021148001,2021-05-28T14:56:22.866Z,"5 km NW of Mayagüez, Puerto Rico",earthquake,1.19,0.78,0.13,14,reviewed,pr,pr
2021-05-28T12:48:51.950Z,36.663166,-121.2939987,5.49,2.99,md,45,56,0.0505,0.17,nc,nc73566641,2021-05-28T20:22:12.410Z,"14km S of Tres Pinos, CA",earthquake,0.26,0.81,0.1,63,automatic,nc,nc
2021-05-28T12:34:33.351Z,28.95721436,-97.98563879,1.051554362,3.1,ml,19,50,0.01121648262,0.3,tx,tx2021kjnv,2021-05-29T04:39:09.040Z,"4 km SE of Falls City, Texas",earthquake,1.710115669,1.238339348,0.1,9,reviewed,tx,tx
